soc,wage_50_comparison_groups,wage_10,wage_25,wage_50,education,experience,training,english,health_insurance_pct,regular_schedule_pct,full_time_pct,safety_conditions,male_75+_pct,male_pct,employment_2014,employment_2024,growth_2014_2024,growth_2014_2024_pct,growth_replacement_2014_2024
254031,29000,19420,24530,32310,2,None,None,3.9,0.788,0.957,-0.973,5,No,0.33,101.8,107.1,5.3,0.052,53.9
434151,28000,19950,24930,32330,1,None,Short-term on-the-job training,2.7,0.789,0.792,0.846,10,No,0.428,195.9,194.3,-1.5,-0.008,53.1
474031,30000,21230,26120,32450,0,None,Moderate-term on-the-job training,2.4,0.351,0.109,0.88,12,Yes,1,24.4,26.4,2,0.08,6.7
373012,29400,22720,26990,32540,1,None,Moderate-term on-the-job training,3.5,0.403,0.466,0.822,12,Yes,0.965,36.4,37.8,1.4,0.038,7.9
514071,29000,22370,26750,32680,1,None,Moderate-term on-the-job training,2.2,0.764,0.636,0.977,10,Yes,0.787,12,8.7,-3.3,-0.277,1.8
499091,26000,19720,24610,32700,1,None,Short-term on-the-job training,3.9,0.728,0.883,0.795,11,Yes,0.88,34.9,31.9,-3,-0.087,4.6
493053,30000,21090,26170,32710,1,None,Moderate-term on-the-job training,3.5,0.537,0.315,0.921,11,Yes,0.982,32.3,33.8,1.5,0.048,8.1
514033,29900,21280,25900,32840,1,None,Moderate-term on-the-job training,2.6,0.757,0.804,0.956,12,Yes,0.826,71.4,55.8,-15.7,-0.219,29.8
516091,27000,21380,26270,32980,1,None,Moderate-term on-the-job training,2.8,0.642,0.916,0.941,10,No,0.675,20.1,17.3,-2.8,-0.141,2.1
514021,36000,21580,26350,33120,1,None,Moderate-term on-the-job training,3.5,0.782,0.722,1,11,Yes,0.873,73.4,55.5,-17.9,-0.244,18.1
419099,28000,19470,24380,33240,1,None,None,na,0.815,na,0.857,na,No,0.562,103,114,11,0.107,25.4
319093,30700,23030,27300,33330,1,None,Moderate-term on-the-job training,3.9,0.768,0.892,0.616,10,No,0.306,52,59.3,7.3,0.14,18.1
339011,28000,20830,26350,33450,1,None,Moderate-term on-the-job training,3.4,0.827,0.814,0.933,9,No,0.496,15,15.9,0.9,0.058,4.3
373013,29400,21660,26790,33500,1,None,Short-term on-the-job training,3.1,0.403,0.428,0.822,12,Yes,0.965,53.2,56.2,3,0.056,12.6
